soc_code,soc_title,aioe,isco_code,isco_title,n_isco,aioe_soc_split,anzsco_code,anzsco_title,n_anzsco,aioe_path
25-2012,"Kindergarten Teachers, Except Special Education",0.6531022,2342,Early childhood educators,1.0,0.6531022,241112,Kaiako Kohanga Reo (Māori Language Nest Teacher),2.0,0.3265511
25-2021,"Elementary School Teachers, Except Special Education",1.016625,2341,Primary school teachers,1.0,1.016625,241211,Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher),6.0,0.1694375
25-2021,"Elementary School Teachers, Except Special Education",1.016625,2341,Primary school teachers,1.0,1.016625,241212,Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher),6.0,0.1694375
25-2021,"Elementary School Teachers, Except Special Education",1.016625,2341,Primary school teachers,1.0,1.016625,241213,Primary School Teacher,6.0,0.1694375
25-2021,"Elementary School Teachers, Except Special Education",1.016625,2341,Primary school teachers,1.0,1.016625,241311,Middle School Teacher / Intermediate School Teacher,6.0,0.1694375
25-2021,"Elementary School Teachers, Except Special Education",1.016625,2341,Primary school teachers,1.0,1.016625,422113,Kaiāwhina Kohanga Reo (Māori Language Nest Assistant),6.0,0.1694375
25-2021,"Elementary School Teachers, Except Special Education",1.016625,2341,Primary school teachers,1.0,1.016625,422114,Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant),6.0,0.1694375
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.284328,2341,Primary school teachers,1.0,1.284328,241211,Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher),6.0,0.21405466666666664
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.284328,2341,Primary school teachers,1.0,1.284328,241212,Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher),6.0,0.21405466666666664
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.284328,2341,Primary school teachers,1.0,1.284328,241213,Primary School Teacher,6.0,0.21405466666666664
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.284328,2341,Primary school teachers,1.0,1.284328,241311,Middle School Teacher / Intermediate School Teacher,6.0,0.21405466666666664
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.284328,2341,Primary school teachers,1.0,1.284328,422113,Kaiāwhina Kohanga Reo (Māori Language Nest Assistant),6.0,0.21405466666666664
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.284328,2341,Primary school teachers,1.0,1.284328,422114,Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant),6.0,0.21405466666666664
25-2023,"Career/Technical Education Teachers, Middle School",0.6469598,2320,Vocational education teachers,1.0,0.6469598,242211,Vocational Education Teacher / Polytechnic Teacher,1.0,0.6469598
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1.248528,2330,Secondary education teachers,1.0,1.248528,241311,Middle School Teacher / Intermediate School Teacher,2.0,0.624264
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1.248528,2330,Secondary education teachers,1.0,1.248528,241411,Secondary School Teacher,2.0,0.624264
25-2032,"Career/Technical Education Teachers, Secondary School",0.4222647,2320,Vocational education teachers,1.0,0.4222647,242211,Vocational Education Teacher / Polytechnic Teacher,1.0,0.4222647
25-2051,"Special Education Teachers, Preschool",0.6546578,2352,Special needs teachers,1.0,0.6546578,241511,Special Needs Teacher,4.0,0.16366445
25-2051,"Special Education Teachers, Preschool",0.6546578,2352,Special needs teachers,1.0,0.6546578,241512,Teacher of the Hearing Impaired,4.0,0.16366445
25-2051,"Special Education Teachers, Preschool",0.6546578,2352,Special needs teachers,1.0,0.6546578,241513,Teacher of the Sight Impaired,4.0,0.16366445
25-2051,"Special Education Teachers, Preschool",0.6546578,2352,Special needs teachers,1.0,0.6546578,241599,Special Education Teachers nec,4.0,0.16366445
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.9371846,2352,Special needs teachers,1.0,0.9371846,241511,Special Needs Teacher,4.0,0.23429615
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.9371846,2352,Special needs teachers,1.0,0.9371846,241512,Teacher of the Hearing Impaired,4.0,0.23429615
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.9371846,2352,Special needs teachers,1.0,0.9371846,241513,Teacher of the Sight Impaired,4.0,0.23429615
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.9371846,2352,Special needs teachers,1.0,0.9371846,241599,Special Education Teachers nec,4.0,0.23429615
25-2053,"Special Education Teachers, Middle School",1.334401,2352,Special needs teachers,1.0,1.334401,241511,Special Needs Teacher,4.0,0.33360025
25-2053,"Special Education Teachers, Middle School",1.334401,2352,Special needs teachers,1.0,1.334401,241512,Teacher of the Hearing Impaired,4.0,0.33360025
25-2053,"Special Education Teachers, Middle School",1.334401,2352,Special needs teachers,1.0,1.334401,241513,Teacher of the Sight Impaired,4.0,0.33360025
25-2053,"Special Education Teachers, Middle School",1.334401,2352,Special needs teachers,1.0,1.334401,241599,Special Education Teachers nec,4.0,0.33360025
25-2054,"Special Education Teachers, Secondary School",0.9999323,2352,Special needs teachers,1.0,0.9999323,241511,Special Needs Teacher,4.0,0.249983075
25-2054,"Special Education Teachers, Secondary School",0.9999323,2352,Special needs teachers,1.0,0.9999323,241512,Teacher of the Hearing Impaired,4.0,0.249983075
25-2054,"Special Education Teachers, Secondary School",0.9999323,2352,Special needs teachers,1.0,0.9999323,241513,Teacher of the Sight Impaired,4.0,0.249983075
25-2054,"Special Education Teachers, Secondary School",0.9999323,2352,Special needs teachers,1.0,0.9999323,241599,Special Education Teachers nec,4.0,0.249983075
25-2059,"Special Education Teachers, All Other",-0.2361226,2352,Special needs teachers,1.0,-0.2361226,241511,Special Needs Teacher,4.0,-0.05903065
25-2059,"Special Education Teachers, All Other",-0.2361226,2352,Special needs teachers,1.0,-0.2361226,241512,Teacher of the Hearing Impaired,4.0,-0.05903065
25-2059,"Special Education Teachers, All Other",-0.2361226,2352,Special needs teachers,1.0,-0.2361226,241513,Teacher of the Sight Impaired,4.0,-0.05903065
25-2059,"Special Education Teachers, All Other",-0.2361226,2352,Special needs teachers,1.0,-0.2361226,241599,Special Education Teachers nec,4.0,-0.05903065
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.440082,2353,Other language teachers,1.0,1.440082,249299,Private Tutors and Teachers nec,2.0,0.720041
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.440082,2353,Other language teachers,1.0,1.440082,249311,Teacher of English to Speakers of Other Languages,2.0,0.720041
25-3021,Self-Enrichment Education Teachers,0.824783,2353,Other language teachers,6.0,0.13746383333333334,249299,Private Tutors and Teachers nec,2.0,0.06873191666666667
25-3021,Self-Enrichment Education Teachers,0.824783,2353,Other language teachers,6.0,0.13746383333333334,249311,Teacher of English to Speakers of Other Languages,2.0,0.06873191666666667
25-3021,Self-Enrichment Education Teachers,0.824783,2354,Other music teachers,6.0,0.13746383333333334,249214,Music Teacher (Private Tuition),1.0,0.13746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,2355,Other arts teachers,6.0,0.13746383333333334,249211,Art Teacher (Private Tuition),3.0,0.04582127777777778
25-3021,Self-Enrichment Education Teachers,0.824783,2355,Other arts teachers,6.0,0.13746383333333334,249212,Dance Teacher (Private Tuition),3.0,0.04582127777777778
25-3021,Self-Enrichment Education Teachers,0.824783,2355,Other arts teachers,6.0,0.13746383333333334,249213,Drama Teacher (Private Tuition),3.0,0.04582127777777778
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452311,Diving Instructor (Open Water),10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452312,Gymnastics Coach or Instructor,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452314,Snowsport Instructor,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452315,Swimming Coach or Instructor,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452316,Tennis Coach,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452317,Other Sports Coach or Instructor,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452318,Dog and Horse Racing Official,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452321,Sports Development Officer,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452322,Sports Umpire,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334,452323,Other Sports Official,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452111,Fitness Instructor,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452211,Bungy Jump Master,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452212,Fishing Guide,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452213,Hunting Guide,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452214,Mountain or Glacier Guide,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452215,Outdoor Adventure Instructor,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452216,Trekking Guide,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452217,Whitewater Rafting Guide,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452299,Outdoor Adventure Guides nec,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334,452313,Horse Riding Coach or Instructor,10.0,0.013746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,5165,Driving instructors,6.0,0.13746383333333334,451211,Driving Instructor,1.0,0.13746383333333334
25-3099,"Teachers and Instructors, All Other",1.486138,2359,Teaching professionals not elsewhere classified,3.0,0.49537933333333334,249299,Private Tutors and Teachers nec,2.0,0.24768966666666667
25-3099,"Teachers and Instructors, All Other",1.486138,2359,Teaching professionals not elsewhere classified,3.0,0.49537933333333334,272115,Student Counsellor,2.0,0.24768966666666667
25-3099,"Teachers and Instructors, All Other",1.486138,2353,Other language teachers,3.0,0.49537933333333334,249299,Private Tutors and Teachers nec,2.0,0.24768966666666667
25-3099,"Teachers and Instructors, All Other",1.486138,2353,Other language teachers,3.0,0.49537933333333334,249311,Teacher of English to Speakers of Other Languages,2.0,0.24768966666666667
25-3099,"Teachers and Instructors, All Other",1.486138,2355,Other arts teachers,3.0,0.49537933333333334,249211,Art Teacher (Private Tuition),3.0,0.16512644444444444
25-3099,"Teachers and Instructors, All Other",1.486138,2355,Other arts teachers,3.0,0.49537933333333334,249212,Dance Teacher (Private Tuition),3.0,0.16512644444444444
25-3099,"Teachers and Instructors, All Other",1.486138,2355,Other arts teachers,3.0,0.49537933333333334,249213,Drama Teacher (Private Tuition),3.0,0.16512644444444444
25-4011,Archivists,0.6928958,2621,Archivists and curators,1.0,0.6928958,224211,Archivist,4.0,0.17322395
25-4011,Archivists,0.6928958,2621,Archivists and curators,1.0,0.6928958,224212,Gallery or Museum Curator,4.0,0.17322395
25-4011,Archivists,0.6928958,2621,Archivists and curators,1.0,0.6928958,224214,Records Manager,4.0,0.17322395
25-4011,Archivists,0.6928958,2621,Archivists and curators,1.0,0.6928958,234911,Conservator,4.0,0.17322395
25-4012,Curators,0.6558576,2621,Archivists and curators,1.0,0.6558576,224211,Archivist,4.0,0.1639644
25-4012,Curators,0.6558576,2621,Archivists and curators,1.0,0.6558576,224212,Gallery or Museum Curator,4.0,0.1639644
25-4012,Curators,0.6558576,2621,Archivists and curators,1.0,0.6558576,224214,Records Manager,4.0,0.1639644
25-4012,Curators,0.6558576,2621,Archivists and curators,1.0,0.6558576,234911,Conservator,4.0,0.1639644
25-4013,Museum Technicians and Conservators,-0.1107287,3433,"Gallery, museum and library technicians",1.0,-0.1107287,399311,Gallery or Museum Technician,2.0,-0.05536435
25-4013,Museum Technicians and Conservators,-0.1107287,3433,"Gallery, museum and library technicians",1.0,-0.1107287,399312,Library Technician,2.0,-0.05536435
25-4021,Librarians,0.9777895,2622,Librarians and related information professionals,1.0,0.9777895,224214,Records Manager,3.0,0.3259298333333333
25-4021,Librarians,0.9777895,2622,Librarians and related information professionals,1.0,0.9777895,224611,Librarian,3.0,0.3259298333333333
25-4021,Librarians,0.9777895,2622,Librarians and related information professionals,1.0,0.9777895,224999,Information and Organisation Professionals nec,3.0,0.3259298333333333
25-4031,Library Technicians,0.1795232,3433,"Gallery, museum and library technicians",2.0,0.0897616,399311,Gallery or Museum Technician,2.0,0.0448808
25-4031,Library Technicians,0.1795232,3433,"Gallery, museum and library technicians",2.0,0.0897616,399312,Library Technician,2.0,0.0448808
25-4031,Library Technicians,0.1795232,4411,Library clerks,2.0,0.0897616,599711,Library Assistant,1.0,0.0897616
25-9011,Audio-Visual and Multimedia Collections Specialists,0.272109,2622,Librarians and related information professionals,1.0,0.272109,224214,Records Manager,3.0,0.09070299999999999
25-9011,Audio-Visual and Multimedia Collections Specialists,0.272109,2622,Librarians and related information professionals,1.0,0.272109,224611,Librarian,3.0,0.09070299999999999
25-9011,Audio-Visual and Multimedia Collections Specialists,0.272109,2622,Librarians and related information professionals,1.0,0.272109,224999,Information and Organisation Professionals nec,3.0,0.09070299999999999
25-9021,Farm and Home Management Advisors,0.7838627,2132,"Farming, forestry and fisheries advisers",1.0,0.7838627,234111,Agricultural Consultant,6.0,0.13064378333333335
25-9021,Farm and Home Management Advisors,0.7838627,2132,"Farming, forestry and fisheries advisers",1.0,0.7838627,234113,Forester / Forest Scientist,6.0,0.13064378333333335
25-9021,Farm and Home Management Advisors,0.7838627,2132,"Farming, forestry and fisheries advisers",1.0,0.7838627,234114,Agricultural Research Scientist,6.0,0.13064378333333335
25-9021,Farm and Home Management Advisors,0.7838627,2132,"Farming, forestry and fisheries advisers",1.0,0.7838627,234115,Agronomist,6.0,0.13064378333333335
25-9021,Farm and Home Management Advisors,0.7838627,2132,"Farming, forestry and fisheries advisers",1.0,0.7838627,234116,Aquaculture or Fisheries Scientist,6.0,0.13064378333333335
25-9021,Farm and Home Management Advisors,0.7838627,2132,"Farming, forestry and fisheries advisers",1.0,0.7838627,234399,Environmental Scientists nec,6.0,0.13064378333333335
25-9031,Instructional Coordinators,1.32382,2351,Education methods specialists,1.0,1.32382,249111,Education Adviser,2.0,0.66191
25-9031,Instructional Coordinators,1.32382,2351,Education methods specialists,1.0,1.32382,249112,Education Reviewer,2.0,0.66191
25-9041,Teacher Assistants,0.7475703,5312,Teachers' aides,1.0,0.7475703,422111,Aboriginal and Torres Strait Islander Education Worker,6.0,0.12459505
25-9041,Teacher Assistants,0.7475703,5312,Teachers' aides,1.0,0.7475703,422112,Integration Aide,6.0,0.12459505
25-9041,Teacher Assistants,0.7475703,5312,Teachers' aides,1.0,0.7475703,422113,Kaiāwhina Kohanga Reo (Māori Language Nest Assistant),6.0,0.12459505
25-9041,Teacher Assistants,0.7475703,5312,Teachers' aides,1.0,0.7475703,422114,Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant),6.0,0.12459505
25-9041,Teacher Assistants,0.7475703,5312,Teachers' aides,1.0,0.7475703,422115,Preschool Aide,6.0,0.12459505
25-9041,Teacher Assistants,0.7475703,5312,Teachers' aides,1.0,0.7475703,422116,Teachers' Aide,6.0,0.12459505
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212111,Artistic Director,10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212112,Media Producer (excluding Video),10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212311,"Art Director (Film, Television or Stage)",10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212312,"Director (Film, Television, Radio or Stage)",10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212313,Director of Photography,10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212314,Film and Video Editor,10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212315,Program Director (Television or Radio),10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212317,Technical Director,10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212318,Video Producer,10.0,0.07272809999999999
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281,212399,"Film, Television, Radio and Stage Directors nec",10.0,0.07272809999999999
27-1012,Craft Artists,-0.9173622,2651,Visual artists,5.0,-0.18347244000000001,211411,Painter (Visual Arts),4.0,-0.045868110000000004
27-1012,Craft Artists,-0.9173622,2651,Visual artists,5.0,-0.18347244000000001,211412,Potter or Ceramic Artist,4.0,-0.045868110000000004
27-1012,Craft Artists,-0.9173622,2651,Visual artists,5.0,-0.18347244000000001,211413,Sculptor,4.0,-0.045868110000000004
27-1012,Craft Artists,-0.9173622,2651,Visual artists,5.0,-0.18347244000000001,232412,Illustrator,4.0,-0.045868110000000004
27-1012,Craft Artists,-0.9173622,3433,"Gallery, museum and library technicians",5.0,-0.18347244000000001,399311,Gallery or Museum Technician,2.0,-0.09173622000000001
27-1012,Craft Artists,-0.9173622,3433,"Gallery, museum and library technicians",5.0,-0.18347244000000001,399312,Library Technician,2.0,-0.09173622000000001
27-1012,Craft Artists,-0.9173622,7314,Potters and related workers,5.0,-0.18347244000000001,211412,Potter or Ceramic Artist,1.0,-0.18347244000000001
27-1012,Craft Artists,-0.9173622,7317,"Handicraft workers in wood, basketry and related materials",5.0,-0.18347244000000001,211499,Visual Arts and Crafts Professionals nec,2.0,-0.09173622000000001
27-1012,Craft Artists,-0.9173622,7317,"Handicraft workers in wood, basketry and related materials",5.0,-0.18347244000000001,394299,Wood Machinists and Other Wood Trades Workers nec,2.0,-0.09173622000000001
27-1012,Craft Artists,-0.9173622,7319,Handicraft workers not elsewhere classified,5.0,-0.18347244000000001,211499,Visual Arts and Crafts Professionals nec,1.0,-0.18347244000000001
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,2651,Visual artists,2.0,-0.34923275,211411,Painter (Visual Arts),4.0,-0.0873081875
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,2651,Visual artists,2.0,-0.34923275,211412,Potter or Ceramic Artist,4.0,-0.0873081875
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,2651,Visual artists,2.0,-0.34923275,211413,Sculptor,4.0,-0.0873081875
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,2651,Visual artists,2.0,-0.34923275,232412,Illustrator,4.0,-0.0873081875
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275,312111,Architectural Draftsperson,7.0,-0.049890392857142855
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275,312116,Surveying or Spatial Science Technician,7.0,-0.049890392857142855
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275,312211,Civil Engineering Draftsperson,7.0,-0.049890392857142855
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275,312311,Electrical Engineering Draftsperson,7.0,-0.049890392857142855
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275,312411,Electronic Engineering Draftsperson,7.0,-0.049890392857142855
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275,312511,Mechanical Engineering Draftsperson,7.0,-0.049890392857142855
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275,312914,Other Draftsperson,7.0,-0.049890392857142855
27-1014,Multimedia Artists and Animators,0.4317718,2166,Graphic and multimedia designers,1.0,0.4317718,232411,Graphic Designer,4.0,0.10794295
27-1014,Multimedia Artists and Animators,0.4317718,2166,Graphic and multimedia designers,1.0,0.4317718,232412,Illustrator,4.0,0.10794295
27-1014,Multimedia Artists and Animators,0.4317718,2166,Graphic and multimedia designers,1.0,0.4317718,232413,Multimedia Designer,4.0,0.10794295
27-1014,Multimedia Artists and Animators,0.4317718,2166,Graphic and multimedia designers,1.0,0.4317718,232414,Web Designer,4.0,0.10794295
27-1021,Commercial and Industrial Designers,0.5598583,2163,Product and garment designers,1.0,0.5598583,232311,Fashion Designer,3.0,0.18661943333333333
27-1021,Commercial and Industrial Designers,0.5598583,2163,Product and garment designers,1.0,0.5598583,232312,Industrial Designer,3.0,0.18661943333333333
27-1021,Commercial and Industrial Designers,0.5598583,2163,Product and garment designers,1.0,0.5598583,232313,Jewellery Designer,3.0,0.18661943333333333
27-1022,Fashion Designers,0.5077618,2163,Product and garment designers,1.0,0.5077618,232311,Fashion Designer,3.0,0.16925393333333336
27-1022,Fashion Designers,0.5077618,2163,Product and garment designers,1.0,0.5077618,232312,Industrial Designer,3.0,0.16925393333333336
27-1022,Fashion Designers,0.5077618,2163,Product and garment designers,1.0,0.5077618,232313,Jewellery Designer,3.0,0.16925393333333336
27-1023,Floral Designers,-0.2188882,7549,Craft and related workers not elsewhere classified,1.0,-0.2188882,362111,Florist,3.0,-0.07296273333333333
27-1023,Floral Designers,-0.2188882,7549,Craft and related workers not elsewhere classified,1.0,-0.2188882,399914,Optical Mechanic,3.0,-0.07296273333333333
27-1023,Floral Designers,-0.2188882,7549,Craft and related workers not elsewhere classified,1.0,-0.2188882,399999,Technicians and Trades Workers nec,3.0,-0.07296273333333333
27-1024,Graphic Designers,0.5274013,2166,Graphic and multimedia designers,1.0,0.5274013,232411,Graphic Designer,4.0,0.131850325
27-1024,Graphic Designers,0.5274013,2166,Graphic and multimedia designers,1.0,0.5274013,232412,Illustrator,4.0,0.131850325
27-1024,Graphic Designers,0.5274013,2166,Graphic and multimedia designers,1.0,0.5274013,232413,Multimedia Designer,4.0,0.131850325
27-1024,Graphic Designers,0.5274013,2166,Graphic and multimedia designers,1.0,0.5274013,232414,Web Designer,4.0,0.131850325
27-1025,Interior Designers,0.8219336,3432,Interior designers and decorators,1.0,0.8219336,232511,Interior Designer,3.0,0.2739778666666667
27-1025,Interior Designers,0.8219336,3432,Interior designers and decorators,1.0,0.8219336,399912,Interior Decorator,3.0,0.2739778666666667
27-1025,Interior Designers,0.8219336,3432,Interior designers and decorators,1.0,0.8219336,639511,Visual Merchandiser,3.0,0.2739778666666667
27-1026,Merchandise Displayers and Window Trimmers,-0.7348464,3432,Interior designers and decorators,1.0,-0.7348464,232511,Interior Designer,3.0,-0.2449488
27-1026,Merchandise Displayers and Window Trimmers,-0.7348464,3432,Interior designers and decorators,1.0,-0.7348464,399912,Interior Decorator,3.0,-0.2449488
27-1026,Merchandise Displayers and Window Trimmers,-0.7348464,3432,Interior designers and decorators,1.0,-0.7348464,639511,Visual Merchandiser,3.0,-0.2449488
27-1027,Set and Exhibit Designers,-0.1602642,3432,Interior designers and decorators,1.0,-0.1602642,232511,Interior Designer,3.0,-0.0534214
27-1027,Set and Exhibit Designers,-0.1602642,3432,Interior designers and decorators,1.0,-0.1602642,399912,Interior Decorator,3.0,-0.0534214
27-1027,Set and Exhibit Designers,-0.1602642,3432,Interior designers and decorators,1.0,-0.1602642,639511,Visual Merchandiser,3.0,-0.0534214
27-2011,Actors,0.5784018,2655,Actors,1.0,0.5784018,211111,Actor,2.0,0.2892009
27-2011,Actors,0.5784018,2655,Actors,1.0,0.5784018,211199,"Actors, Dancers and Other Entertainers nec",2.0,0.2892009
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212111,Artistic Director,10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212112,Media Producer (excluding Video),10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212311,"Art Director (Film, Television or Stage)",10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212312,"Director (Film, Television, Radio or Stage)",10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212313,Director of Photography,10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212314,Film and Video Editor,10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212315,Program Director (Television or Radio),10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212317,Technical Director,10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212318,Video Producer,10.0,0.08597838
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838,212399,"Film, Television, Radio and Stage Directors nec",10.0,0.08597838
27-2021,Athletes and Sports Competitors,-1.290383,3421,Athletes and sports players,1.0,-1.290383,452411,Footballer,4.0,-0.32259575
27-2021,Athletes and Sports Competitors,-1.290383,3421,Athletes and sports players,1.0,-1.290383,452412,Golfer,4.0,-0.32259575
27-2021,Athletes and Sports Competitors,-1.290383,3421,Athletes and sports players,1.0,-1.290383,452413,Jockey,4.0,-0.32259575
27-2021,Athletes and Sports Competitors,-1.290383,3421,Athletes and sports players,1.0,-1.290383,452499,Sportspersons nec,4.0,-0.32259575
27-2022,Coaches and Scouts,0.3188508,3422,"Sports coaches, instructors and officials",1.0,0.3188508,452311,Diving Instructor (Open Water),10.0,0.031885079999999996
27-2022,Coaches and Scouts,0.3188508,3422,"Sports coaches, instructors and officials",1.0,0.3188508,452312,Gymnastics Coach or Instructor,10.0,0.031885079999999996
27-2022,Coaches and Scouts,0.3188508,3422,"Sports coaches, instructors and officials",1.0,0.3188508,452314,Snowsport Instructor,10.0,0.031885079999999996
27-2022,Coaches and Scouts,0.3188508,3422,"Sports coaches, instructors and officials",1.0,0.3188508,452315,Swimming Coach or Instructor,10.0,0.031885079999999996
