isco_code,anzsco_code,anzsco_title
5245,621611,Service Station Attendant
5246,431211,Cafe Worker
5246,621111,Sales Assistant (General)
5249,621711,Cash Van Salesperson
5249,621912,Rental Salesperson
5249,621999,Sales Assistants and Salespersons nec
5249,639911,Other Sales Support Worker
5311,421111,Child Care Worker
5311,421112,Family Day Care Worker
5311,421113,Nanny
5311,421114,Out of School Hours Care Worker
5311,423411,Child or Youth Residential Care Assistant
5311,423412,Hostel Parent
5312,422111,Aboriginal and Torres Strait Islander Education Worker
5312,422112,Integration Aide
5312,422113,Kaiāwhina Kohanga Reo (Māori Language Nest Assistant)
5312,422114,Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant)
5312,422115,Preschool Aide
5312,422116,Teachers' Aide
5321,423312,Nursing Support Worker
5321,423313,Personal Care Assistant
5322,423111,Aged or Disabled Carer
5329,311216,Pathology Collector / Phlebotomist
5329,423211,Dental Assistant
5329,423311,Hospital Orderly
5329,451899,Personal Service Workers nec
5329,711411,Photographic Developer and Printer
5329,711914,Sterilisation Technician
5411,441212,Fire Fighter
5412,441312,Police Officer
5413,442111,Prison Officer
5414,442211,"Alarm, Security or Surveillance Monitor"
5414,442212,Armoured Car Escort
5414,442213,Crowd Controller
5414,442215,Retail Loss Prevention Officer
5414,442217,Security Officer
5414,442299,Security Officers and Guards nec
5419,234314,Park Ranger
5419,441211,Emergency Service Worker
5419,442299,Security Officers and Guards nec
5419,452414,Lifeguard
5419,599599,Inspectors and Regulatory Officers nec
5419,899913,Crossing Supervisor
5419,899923,Road Traffic Controller
6111,121511,Cotton Grower
6111,121512,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower"
6111,121513,Sugar Cane Grower
6111,121599,Broadacre Crop Growers nec
6111,121616,Vegetable Grower (Aus) / Market Gardener (NZ)
6111,363116,Senior Broadacre Crop Farm Worker
6111,363114,Horticultural Supervisor or Specialist
6111,363199,"Senior Aquaculture, Crop and Forestry Workers nec"
6112,121599,Broadacre Crop Growers nec
6112,121612,Fruit Grower
6112,121613,Nut Grower
6112,121699,Horticultural Crop Growers nec
6112,363114,Horticultural Supervisor or Specialist
6112,363117,Vineyard Supervisor
6112,363199,"Senior Aquaculture, Crop and Forestry Workers nec"
6113,121611,Flower Grower
6113,121614,Production Nursery Grower
6113,121615,Turf Grower
6113,121616,Vegetable Grower (Aus) / Market Gardener (NZ)
6113,121699,Horticultural Crop Growers nec
6113,362312,Sports Turf Manager
6113,362313,Sports Turf Trades Worker
6113,362411,Nurseryperson
6113,362511,Arborist
6113,362512,Tree Worker
6113,362611,Gardener (General)
6113,362711,Landscape Gardener
6113,362712,Irrigation Technician
6113,363114,Horticultural Supervisor or Specialist
6114,121699,Horticultural Crop Growers nec
6114,121799,Mixed Production Farmers nec
6114,363114,Horticultural Supervisor or Specialist
6114,363199,"Senior Aquaculture, Crop and Forestry Workers nec"
6121,121312,Beef Cattle Farmer
6121,121313,Dairy Cattle Farmer
6121,121314,Deer Farmer
6121,121315,Goat Farmer
6121,121316,Horse Breeder
6121,121318,Pig Farmer
6121,121322,Sheep Farmer
6121,121323,Mixed Cattle and Sheep Farmer
6121,121399,Livestock Farmers nec
6121,361116,Track Rider
6121,363211,Senior Beef Cattle Station Worker
6121,363212,Senior Cattle and Sheep Farm Worker
6121,363213,Senior Dairy Cattle Farm Worker
6121,363214,Senior Piggery Stockperson
6121,363215,Senior Sheep Farm Worker
6121,363299,Senior Livestock Farm Workers nec
6121,363311,Shearer
6122,121321,Poultry Farmer
6122,363299,Senior Livestock Farm Workers nec
6123,121311,Apiarist
6123,121399,Livestock Farmers nec
6129,121399,Livestock Farmers nec
6129,363299,Senior Livestock Farm Workers nec
6130,121711,Broadacre Crop and Livestock Farmer
6130,121799,Mixed Production Farmers nec
6130,363115,Senior Broadacre Crop and Livestock Farm Worker
6210,363113,Forestry Operations Supervisor
6210,363199,"Senior Aquaculture, Crop and Forestry Workers nec"
6210,843111,Forestry Worker
6210,843112,Logging Assistant
6210,843113,Tree Faller
6210,899999,Labourers nec
6221,121111,Aquaculture Farmer
6221,363111,Aquaculture Supervisor
6222,231211,Master Fisher
6222,363112,Fishing Leading Hand
6222,899212,Fishing Hand
6223,231211,Master Fisher
6223,363112,Fishing Leading Hand
6223,899212,Fishing Hand
6224,843911,Hunter-Trapper
6310,xxxxxx,No Correspondence
6320,xxxxxx,No Correspondence
6330,xxxxxx,No Correspondence
6340,xxxxxx,No Correspondence
7111,133112,Project Builder
7111,331212,Carpenter
7111,821412,Home Improvement Installer
7112,331111,Bricklayer
7113,331112,Stonemason
7114,332111,Floor Finisher
7114,821211,Concreter
7115,331211,Carpenter and Joiner
7115,331212,Carpenter
7115,331213,Joiner
7115,399111,Boat Builder and Repairer
7115,399112,Shipwright
7115,821412,Home Improvement Installer
7119,821712,Scaffolder
7121,333311,Roof Tiler
7121,334115,Roof Plumber
7122,332111,Floor Finisher
7122,333411,Wall and Floor Tiler
7123,333211,Plasterer (Wall and Ceiling)
7123,333212,Renderer (Solid Plaster)
7124,821411,Building Insulation Installer
7124,821913,Lagger
7125,333111,Glazier
7125,899412,Autoglazier
7126,334112,Airconditioning and Mechanical Services Plumber
7126,334113,Drainer
7126,334114,Gasfitter
7126,334115,Roof Plumber
7126,334116,Plumber (General)
7126,334117,Fire Protection Plumber
7127,342111,Airconditioning and Refrigeration Mechanic
7131,332211,Painter
7132,324311,Vehicle Painter
7132,711211,Industrial Spraypainter
7133,711913,Sand Blaster
7133,811211,Commercial Cleaner
7133,811699,Cleaners nec
7211,322114,Metal Casting Trades Worker
7212,322311,Metal Fabricator
7212,322312,Pressure Welder
7212,322313,Welder (First Class) (Aus) / Welder (NZ)
7212,323213,Fitter-Welder
7212,712311,Engineering Production Worker
7213,322211,Sheetmetal Worker
7213,322311,Metal Fabricator
7213,323113,Aircraft Maintenance Engineer (Structures)
7213,324111,Panelbeater
7213,324211,Vehicle Body Builder
7213,399111,Boat Builder and Repairer
7213,712311,Engineering Production Worker
7214,322311,Metal Fabricator
7214,399112,Shipwright
7214,821714,Structural Steel Erector
7215,399111,Boat Builder and Repairer
7215,399112,Shipwright
7215,821711,Construction Rigger
7221,322111,Blacksmith
7221,322113,Farrier
7222,323312,Gunsmith
7222,323313,Locksmith
7222,323315,Saw Doctor
7222,323411,Engineering Patternmaker
7222,323412,Toolmaker
7223,323211,Fitter (General)
7223,323212,Fitter and Turner
7223,323214,Metal Machinist (First Class)
7223,712311,Engineering Production Worker
7224,322115,Metal Polisher
7224,323315,Saw Doctor
7224,712311,Engineering Production Worker
7231,321211,Motor Mechanic (General)
7231,321212,Diesel Motor Mechanic
7231,321213,Motorcycle Mechanic
7231,321214,Small Engine Mechanic
7231,899411,Motor Vehicle Parts and Accessories Fitter (General)
7231,899413,Exhaust and Muffler Repairer
7231,899414,Radiator Repairer
7231,899415,Tyre Fitter
7232,323112,Aircraft Maintenance Engineer (Mechanical)
7233,323211,Fitter (General)
7233,323215,"Textile, Clothing and Footwear Mechanic"
7233,323299,Metal Fitters and Machinists nec
7233,399999,Technicians and Trades Workers nec
7234,399999,Technicians and Trades Workers nec
7234,899911,Bicycle Mechanic
7311,323314,Precision Instrument Maker and Repairer
7311,323316,Watch and Clock Maker and Repairer
7312,399515,Musical Instrument Maker or Repairer
7313,399411,Jeweller
7314,211412,Potter or Ceramic Artist
7315,399914,Optical Mechanic
7315,399999,Technicians and Trades Workers nec
7316,323311,Engraver
7316,399611,Signwriter
7317,211499,Visual Arts and Crafts Professionals nec
7317,394299,Wood Machinists and Other Wood Trades Workers nec
7318,211499,Visual Arts and Crafts Professionals nec
7319,211499,Visual Arts and Crafts Professionals nec
7321,392211,Graphic Pre-press Trades Worker
7322,392112,Screen Printer
7322,392311,Printing Machinist
7322,392312,Small Offset Printer
7323,392111,Print Finisher
7323,899512,Printing Table Worker
7411,341111,Electrician (General)
7411,341112,Electrician (Special Class)
7412,321111,Automotive Electrician
7412,341111,Electrician (General)
7412,341113,Lift Mechanic
7413,342211,Electrical Linesworker / Electrical Line Mechanic
7413,342212,Technical Cable Jointer
7421,323111,Aircraft Maintenance Engineer (Avionics)
7421,342311,Business Machine Mechanic
7421,342313,Electronic Equipment Trades Worker
7421,342314,Electronic Instrument Trades Worker (General)
7421,342315,Electronic Instrument Trades Worker (Special Class)
7422,313111,Hardware Technician
7422,313199,ICT Support Technicians nec
7422,342411,Cabler (Data and Telecommunications)
7422,342412,Telecommunications Cable Jointer
7422,342413,Telecommunications Linesworker / Telecommunications Line Mechanic
7422,342414,Telecommunications Technician
7511,351211,Butcher or Smallgoods Maker
7511,831211,Meat Boner and Slicer
7511,831212,Slaughterer
7511,831311,Meat Process Worker
7511,831312,Poultry Process Worker
7511,831313,Seafood Process Worker
7512,351111,Baker
7512,351112,Pastrycook
7512,831113,Confectionery Maker
7513,831114,Dairy Products Maker
7514,831199,Food and Drink Factory Workers nec
7515,831199,Food and Drink Factory Workers nec
7515,839312,Product Grader
7515,839313,Product Tester
7516,831199,Food and Drink Factory Workers nec
7521,712999,Stationary Plant Operators nec
7522,394112,Cabinet Maker
7522,394113,Furniture Maker
7522,394211,Furniture Finisher
7522,394212,Picture Framer
7523,394213,Wood Machinist
7523,394214,Wood Turner
7531,393213,Dressmaker or Tailor
7531,393299,Clothing Trades Workers nec
7532,393211,Apparel Cutter
7532,393212,Clothing Patternmaker
7533,393111,Canvas Goods Fabricator
7533,393112,Leather Goods Maker
7533,393113,Sail Maker
7534,324212,Vehicle Trimmer
7534,393311,Upholsterer
7535,399999,Technicians and Trades Workers nec
7535,711712,Hide and Skin Processing Machine Operator
7535,839917,Hide and Skin Processing Worker
7536,393112,Leather Goods Maker
7536,393114,Shoemaker
7541,399911,Diver
7542,712213,Shot Firer
7543,363312,Wool Classer
7543,399999,Technicians and Trades Workers nec
7543,839311,Product Examiner
7543,839312,Product Grader
7543,839313,Product Tester
7544,843411,Pest Control Technician
7544,843912,Irrigation Assistant
7544,843999,Forestry and Garden Workers nec
7549,362111,Florist
7549,399914,Optical Mechanic
7549,399999,Technicians and Trades Workers nec
8111,712211,Driller
8111,712212,Miner
8112,712999,Stationary Plant Operators nec
8113,712211,Driller
8114,711112,Concrete Products Machine Operator
8114,711114,Stone Processing Machine Operator
8114,711199,"Clay, Concrete, Glass and Stone Processing Machine Operators nec"
8114,712913,Cement Production Plant Operator
8114,712914,Concrete Batching Plant Operator
8114,712915,Concrete Pump Operator
8121,712311,Engineering Production Worker
8122,322112,Electroplater
8122,711913,Sand Blaster
8122,712311,Engineering Production Worker
8131,711911,Chemical Production Machine Operator
8131,712999,Stationary Plant Operators nec
8132,399915,Photographer's Assistant
8132,711411,Photographic Developer and Printer
8132,711999,Machine Operators nec
8141,711516,Rubber Production Machine Operator
8142,399111,Boat Builder and Repairer
8142,711511,Plastic Cablemaking Machine Operator
8142,711512,Plastic Compounding and Reclamation Machine Operator
8142,711513,Plastics Fabricator or Welder
8142,711514,Plastics Production Machine Operator (General)
8142,711515,Reinforced Plastic and Composite Production Worker
8142,711599,Plastics and Rubber Production Machine Operators nec
8143,711311,Paper Products Machine Operator
8151,711716,Yarn Carding and Spinning Machine Operator
8151,711799,Textile and Footwear Production Machine Operators nec
8152,711713,Knitting Machine Operator
8152,711715,Weaving Machine Operator
8152,711799,Textile and Footwear Production Machine Operators nec
8153,711611,Sewing Machinist
8154,711714,Textile Dyeing and Finishing Machine Operator
8155,711712,Hide and Skin Processing Machine Operator
8156,711711,Footwear Production Machine Operator
8157,811511,Laundry Worker (General)
8157,811512,Drycleaner
8157,811513,Ironer or Presser
8159,711799,Textile and Footwear Production Machine Operators nec
8160,712999,Stationary Plant Operators nec
8160,831111,Baking Factory Worker
8160,831112,Brewery Worker
8160,831113,Confectionery Maker
8160,831114,Dairy Products Maker
8160,831115,Fruit and Vegetable Factory Worker
8160,831116,Grain Mill Worker
8160,831117,Sugar Mill Worker
8160,831118,Winery Cellar Hand
8160,831199,Food and Drink Factory Workers nec
8160,831311,Meat Process Worker
8160,831312,Poultry Process Worker
8160,831313,Seafood Process Worker
8171,712916,Paper and Pulp Mill Operator
8172,711313,Sawmilling Operator
8172,711314,Other Wood Processing Machine Operator
8172,712999,Stationary Plant Operators nec
8181,711111,Clay Products Machine Operator
8181,711113,Glass Production Machine Operator
8182,712911,Boiler or Engine Operator
8183,832111,Chocolate Packer
8183,832112,Container Filler
8183,832113,Fruit and Vegetable Packer
8183,832114,Meat Packer
8183,832115,Seafood Packer
8183,832199,Packers nec
8189,711999,Machine Operators nec
8189,712999,Stationary Plant Operators nec
8189,721912,Linemarker
8211,832211,Product Assembler
8212,832211,Product Assembler
8219,832211,Product Assembler
8311,731311,Train Driver
8312,712917,Railway Signal Operator
8312,712918,Train Controller
8321,561211,Courier
8322,411111,Ambulance Officer
8322,561211,Courier
8322,731111,Chauffeur
8322,731112,Taxi Driver
8322,731199,Automobile Drivers nec
8322,732111,Delivery Driver
8331,731211,Bus Driver
8331,731212,Charter and Tour Bus Driver
8331,731213,Passenger Coach Driver
8331,731312,Tram Driver
8332,733111,Truck Driver (General)
8332,733112,Aircraft Refueller
8332,733113,Furniture Removalist
8332,733114,Tanker Driver
8332,733115,Tow Truck Driver
8341,721111,Agricultural and Horticultural Mobile Plant Operator
8341,721112,Logging Plant Operator
8342,721211,Earthmoving Plant Operator (General)
8342,721212,Backhoe Operator
8342,721213,Bulldozer Operator
8342,721214,Excavator Operator
8342,721215,Grader Operator
8342,721216,Loader Operator
8342,721913,Paving Plant Operator
8342,721914,Railway Track Plant Operator
8342,721915,Road Roller Operator
8342,721916,Streetsweeper Operator
8342,721999,Mobile Plant Operators nec
8343,712111,"Crane, Hoist or Lift Operator"
8343,712999,Stationary Plant Operators nec
8343,721999,Mobile Plant Operators nec
8344,721311,Forklift Driver
8350,899211,Deck Hand
9111,811311,Domestic Cleaner
9112,431911,Bar Useful or Busser
9112,811211,Commercial Cleaner
9112,811411,Commercial Housekeeper
9121,811511,Laundry Worker (General)
9121,811512,Drycleaner
9121,811513,Ironer or Presser
9122,811111,Car Detailer
9123,811612,Window Cleaner
9129,811611,Carpet Cleaner
9129,811699,Cleaners nec
9211,842211,Cotton Farm Worker
9211,842212,Fruit Farm Worker
9211,842213,Fruit Picker
9211,842214,"Grain, Oilseed, Pulse and Pasture Farm Worker (Aus) / Field Farm Worker (NZ)"
9211,842215,Mushroom Picker
9211,842216,Nut Farm Worker
9211,842217,Sugar Cane Farm Worker
9211,842218,Vegetable Farm Worker (Aus) / Market Garden Worker (NZ)
9211,842221,Vegetable Picker
9211,842222,Vineyard Worker
9211,842299,Crop Farm Workers nec
9212,842311,Beef Cattle Farm Worker
9212,842312,Cattle and Sheep Farm Worker
9212,842313,Dairy Cattle Farm Worker
9212,842314,Livestock Husbandry Worker
9212,842315,Piggery Farm Worker
9212,842316,Poultry Farm Worker
9212,842317,Sheep Farm Worker
9212,842318,Stablehand
9212,842321,Wool Handler
9212,842399,Livestock Farm Workers nec
9213,842411,Broadacre Crop and Livestock Farm Worker
9213,842499,Mixed Production Farm Workers nec
9214,843211,Garden Labourer
9214,843311,Horticultural Nursery Assistant
9215,843111,Forestry Worker
9215,843112,Logging Assistant
9215,843113,Tree Faller
9216,842111,Aquaculture Worker
9311,821912,Driller's Assistant
9311,821914,Mining Support Worker
9312,821112,"Drainage, Sewerage and Stormwater Labourer"
9312,821113,Earthmoving Labourer
9312,821511,Paving and Surfacing Labourer
9312,821611,Railway Track Worker
9312,821915,Surveyor's Assistant
9313,821111,Builder's Labourer
9313,821114,Plumber's Assistant
9313,821211,Concreter
9313,821311,Fencer
9313,821412,Home Improvement Installer
9313,821713,Steel Fixer
9313,821911,Crane Chaser
9313,899914,Electrical or Telecommunications Trades Assistant
9321,832111,Chocolate Packer
9321,832112,Container Filler
9321,832113,Fruit and Vegetable Packer
9321,832114,Meat Packer
9321,832115,Seafood Packer
9321,832199,Packers nec
9329,741111,Storeperson
9329,839111,Metal Engineering Process Worker
9329,839211,Plastics Factory Worker
9329,839212,Rubber Factory Worker
9329,839411,Paper and Pulp Mill Worker
9329,839412,Sawmill or Timber Yard Worker
9329,839413,Wood and Wood Products Factory Worker
9329,839911,Cement and Concrete Plant Worker
9329,839912,Chemical Plant Worker
9329,839913,Clay Processing Factory Worker
9329,839914,Fabric and Textile Factory Worker
9329,839915,Footwear Factory Worker
9329,839916,Glass Processing Worker
9329,839999,Factory Process Workers nec
9329,899511,Printer's Assistant
9329,899512,Printing Table Worker
9331,561211,Courier
9332,899999,Labourers nec
9333,712912,Bulk Materials Handling Plant Operator
9333,721911,Aircraft Baggage Handler and Airline Ground Crew
9333,741111,Storeperson
9333,891111,Freight Handler (Rail or Road)
9333,891112,Truck Driver's Offsider
9333,891113,Waterside Worker
9334,891211,Shelf Filler
9411,851111,Fast Food Cook
9412,851211,Pastrycook's Assistant
9412,851299,Food Trades Assistants nec
9412,851311,Kitchenhand
9510,899999,Labourers nec
9520,621711,Cash Van Salesperson
9520,621713,Street Vendor
9611,899611,Recycling or Rubbish Collector
9612,621911,Materials Recycler
9612,839918,Recycling Worker
9613,811699,Cleaners nec
9621,431912,Doorperson or Luggage Porter
9621,561211,Courier
9621,899915,Leaflet or Newspaper Deliverer
9622,899311,Handyperson
9623,561912,Meter Reader
9623,899711,Vending Machine Attendant
9624,843999,Forestry and Garden Workers nec
9629,431999,Hospitality Workers nec
9629,899912,Car Park Attendant
9629,899916,Mechanic's Assistant
9629,899917,Railways Assistant
9629,899918,Sign Erector
9629,899921,Ticket Collector or Usher
9629,899922,Trolley Collector
9629,899999,Labourers nec
