isco_code,anzsco_code,anzsco_title
2165,232214,Other Spatial Scientist
2166,232411,Graphic Designer
2166,232412,Illustrator
2166,232413,Multimedia Designer
2166,232414,Web Designer
2211,253111,General Practitioner
2211,253112,Resident Medical Officer
2212,253211,Anaesthetist
2212,253311,Specialist Physician (General Medicine)
2212,253312,Cardiologist
2212,253313,Clinical Haematologist
2212,253314,Medical Oncologist
2212,253315,Endocrinologist
2212,253316,Gastroenterologist
2212,253317,Intensive Care Specialist
2212,253318,Neurologist
2212,253321,Paediatrician
2212,253322,Renal Medicine Specialist
2212,253323,Rheumatologist
2212,253324,Thoracic Medicine Specialist
2212,253399,Specialist Physicians nec
2212,253411,Psychiatrist
2212,253511,Surgeon (General)
2212,253512,Cardiothoracic Surgeon
2212,253513,Neurosurgeon
2212,253514,Orthopaedic Surgeon
2212,253515,Otorhinolaryngologist
2212,253516,Paediatric Surgeon
2212,253517,Plastic and Reconstructive Surgeon
2212,253518,Urologist
2212,253521,Vascular Surgeon
2212,253911,Dermatologist
2212,253912,Emergency Medicine Specialist
2212,253913,Obstetrician and Gynaecologist
2212,253914,Ophthalmologist
2212,253915,Pathologist
2212,253917,Diagnostic and Interventional Radiologist
2212,253918,Radiation Oncologist
2212,253999,Medical Practitioners nec
2221,254211,Nurse Educator
2221,254212,Nurse Researcher
2221,254311,Nurse Manager
2221,254411,Nurse Practitioner
2221,254412,Registered Nurse (Aged Care)
2221,254413,Registered Nurse (Child and Family Health)
2221,254414,Registered Nurse (Community Health)
2221,254415,Registered Nurse (Critical Care and Emergency)
2221,254416,Registered Nurse (Developmental Disability)
2221,254417,Registered Nurse (Disability and Rehabilitation)
2221,254418,Registered Nurse (Medical)
2221,254421,Registered Nurse (Medical Practice)
2221,254422,Registered Nurse (Mental Health)
2221,254423,Registered Nurse (Perioperative)
2221,254424,Registered Nurse (Surgical)
2221,254425,Registered Nurse (Paediatrics)
2221,254499,Registered Nurses nec
2222,254111,Midwife
2230,252211,Acupuncturist
2230,252212,Homoeopath
2230,252213,Naturopath
2230,252214,Traditional Chinese Medicine Practitioner
2230,252215,Traditional Māori Health Practitioner
2230,252299,Complementary Health Therapists nec
2240,411112,Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)
2250,234711,Veterinarian
2261,252311,Dental Specialist
2261,252312,Dentist
2262,251511,Hospital Pharmacist
2262,251512,Industrial Pharmacist
2262,251513,Retail Pharmacist
2263,251311,Environmental Health Officer
2263,251312,Occupational Health and Safety Adviser
2264,252511,Physiotherapist
2265,251111,Dietitian
2265,251112,Nutritionist
2266,252711,Audiologist
2266,252712,Speech Pathologist / Speech Language Therapist
2267,251411,Optometrist
2267,251412,Orthoptist
2269,234612,Respiratory Scientist
2269,234915,Exercise Physiologist
2269,234999,Natural and Physical Science Professionals nec
2269,251999,Health Diagnostic and Promotion Professionals nec
2269,252111,Chiropractor
2269,252112,Osteopath
2269,252299,Complementary Health Therapists nec
2269,252411,Occupational Therapist
2269,252611,Podiatrist
2310,242111,University Lecturer
2310,242112,University Tutor
2310,242211,Vocational Education Teacher / Polytechnic Teacher
2320,242211,Vocational Education Teacher / Polytechnic Teacher
2330,241311,Middle School Teacher / Intermediate School Teacher
2330,241411,Secondary School Teacher
2341,241211,Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher)
2341,241212,Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher)
2341,241213,Primary School Teacher
2341,241311,Middle School Teacher / Intermediate School Teacher
2341,422113,Kaiāwhina Kohanga Reo (Māori Language Nest Assistant)
2341,422114,Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant)
2342,241111,Early Childhood (Pre-primary School) Teacher
2342,241112,Kaiako Kohanga Reo (Māori Language Nest Teacher)
2351,249111,Education Adviser
2351,249112,Education Reviewer
2352,241511,Special Needs Teacher
2352,241512,Teacher of the Hearing Impaired
2352,241513,Teacher of the Sight Impaired
2352,241599,Special Education Teachers nec
2353,249299,Private Tutors and Teachers nec
2353,249311,Teacher of English to Speakers of Other Languages
2354,249214,Music Teacher (Private Tuition)
2355,249211,Art Teacher (Private Tuition)
2355,249212,Dance Teacher (Private Tuition)
2355,249213,Drama Teacher (Private Tuition)
2356,223311,Training and Development Professional
2359,249299,Private Tutors and Teachers nec
2359,272115,Student Counsellor
2411,221111,Accountant (General)
2411,221112,Management Accountant
2411,221113,Taxation Accountant
2411,221213,External Auditor
2411,221214,Internal Auditor
2412,222311,Financial Investment Adviser
2412,222312,Financial Investment Manager
2413,222299,Financial Dealers nec
2421,139916,Quality Assurance Manager
2421,139917,Regulatory Affairs Manager
2421,224712,Organisation and Methods Analyst
2421,224713,Management Consultant
2421,224714,Supply Chain Analyst
2422,224411,Intelligence Officer
2422,224412,Policy Analyst
