anzsco_code,anzsco_title,aioe_mean,aioe_sum,n_paths
242211,p,0.5064313245614035,19.24439033333333,38
552314,p,0.5470075953703704,4.9230683583333334,9
272499,p,0.5520012125,4.4160097,8
233914,p,0.17603540752192984,3.344672742916667,19
222299,p,0.6481002511111111,3.2405012555555555,5
552312,p,0.38054361574074075,3.044348925925926,8
599999,p,0.25602812666666663,2.048225013333333,8
139999,p,0.28902287868480725,2.0231601507936507,7
223112,p,0.15093466295648794,1.9621506184343434,13
521211,p,0.6413379777777778,1.9240139333333333,3
599213,p,0.23270436249999998,1.8616348999999999,8
249299,p,0.31664970000000003,1.5832485,5
132111,p,0.2114364785147392,1.4800553496031745,7
542114,p,0.4730487222222222,1.4191461666666667,3
272211,p,0.70628475,1.4125695,2
512211,p,0.4594965666666666,1.3784896999999998,3
149913,p,0.19000774256854255,1.330054197979798,7
149212,p,0.19000774256854255,1.330054197979798,7
223311,p,0.6614555,1.322911,2
134299,p,0.2803175625,1.12127025,4
224912,p,0.12453609510381594,1.1208248559343434,9
611312,p,0.09935809505968778,1.0929390456565655,11
111111,p,0.13606132648809524,1.088490611904762,8
111211,p,0.13606132648809524,1.088490611904762,8
639911,p,0.26089381875,1.043575275,4
212499,p,0.20748882000000002,1.0374441,5
224999,p,0.10315786892676768,1.0315786892676768,10
233912,p,0.11203998625000001,1.0083598762500001,9
241311,p,0.33591872222222224,1.0077561666666668,3
313112,p,0.49140300000000003,0.9828060000000001,2
512299,p,0.47640649999999996,0.9528129999999999,2
234999,p,0.09001959288888889,0.9001959288888889,10
212411,p,0.2764776944444444,0.8294330833333333,3
234115,p,0.05913679216269841,0.8279150902777778,14
251311,p,0.13078850727124183,0.7847310436274509,6
224214,p,0.18845529583333331,0.7538211833333333,4
233511,p,0.12407957048611111,0.7444774229166666,6
621713,p,0.180536175,0.7221447,4
551211,p,0.23981612500000002,0.719448375,3
234116,p,0.05946085104166667,0.7135302125,12
222199,p,0.077692344332211,0.699231098989899,9
139917,p,0.18970455079365078,0.5691136523809524,3
139916,p,0.18970455079365078,0.5691136523809524,3
149311,p,0.26244276168831165,0.5248855233766233,2
422113,p,0.16936240555555557,0.5080872166666667,3
422114,p,0.16936240555555557,0.5080872166666667,3
149999,p,0.11937670399230399,0.47750681596921596,4
312611,p,0.03939493483734403,0.43334428321078433,11
224611,p,0.14369223915343912,0.4310767174603174,3
234611,p,0.036566844318181815,0.4022352875,11
234399,p,0.067533789,0.337668945,5
639411,p,0.06603654518518519,0.33018272592592596,5
599599,p,0.021349618384576052,0.29889465738406473,14
232511,p,0.07019677916666668,0.2807871166666667,4
133112,p,0.13254064583333333,0.26508129166666666,2
141999,p,0.12190513668831168,0.24381027337662337,2
211199,p,0.11994504166666665,0.2398900833333333,2
591211,p,0.05888728392857143,0.2355491357142857,4
621711,p,0.11230486249999999,0.22460972499999998,2
211113,p,0.11018160833333333,0.22036321666666667,2
252299,p,0.011368134640522876,0.1932582888888889,17
312116,p,0.02097984904761905,0.18881864142857144,9
232412,p,0.026654244374999997,0.10661697749999999,4
133512,p,0.05287908333333333,0.10575816666666665,2
133111,p,0.034540175,0.06908035,2
311299,p,0.003945731875,0.06313171,16
142113,p,0.017747051666666666,0.03549410333333333,2
142115,p,0.017747051666666666,0.03549410333333333,2
142114,p,0.017747051666666666,0.03549410333333333,2
