soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
17-2161,Nuclear Engineers,1.07307,2149,Engineering professionals not elsewhere classified,1.0,1.07307
17-2171,Petroleum Engineers,1.03314,2146,"Mining engineers, metallurgists and related professionals",1.0,1.03314
17-2199,"Engineers, All Other",0.5808077,2149,Engineering professionals not elsewhere classified,1.0,0.5808077
17-3011,Architectural and Civil Drafters,0.5538733,3118,Draughtspersons,1.0,0.5538733
17-3012,Electrical and Electronics Drafters,0.675525,3118,Draughtspersons,1.0,0.675525
17-3013,Mechanical Drafters,0.3818422,3118,Draughtspersons,1.0,0.3818422
17-3021,Aerospace Engineering and Operations Technicians,0.2007942,3115,Mechanical engineering technicians,1.0,0.2007942
17-3022,Civil Engineering Technicians,0.5532153,3112,Civil engineering technicians,1.0,0.5532153
17-3023,Electrical and Electronic Engineering Technicians,0.0780005,3113,Electrical engineering technicians,4.0,0.019500125
17-3023,Electrical and Electronic Engineering Technicians,0.0780005,3114,Electronics engineering technicians,4.0,0.019500125
17-3023,Electrical and Electronic Engineering Technicians,0.0780005,3155,Air traffic safety electronics technicians,4.0,0.019500125
17-3023,Electrical and Electronic Engineering Technicians,0.0780005,3522,Telecommunications engineering technicians,4.0,0.019500125
17-3024,Electro-Mechanical Technicians,-0.5684535,3113,Electrical engineering technicians,2.0,-0.28422675
17-3024,Electro-Mechanical Technicians,-0.5684535,3115,Mechanical engineering technicians,2.0,-0.28422675
17-3025,Environmental Engineering Technicians,-0.1238053,3119,Physical and engineering science technicians not elsewhere classified,1.0,-0.1238053
17-3026,Industrial Engineering Technicians,0.3474347,3119,Physical and engineering science technicians not elsewhere classified,1.0,0.3474347
17-3027,Mechanical Engineering Technicians,-0.273681,3115,Mechanical engineering technicians,1.0,-0.273681
17-3029,"Engineering Technicians, Except Drafters, All Other",-0.0792918,3115,Mechanical engineering technicians,4.0,-0.01982295
17-3029,"Engineering Technicians, Except Drafters, All Other",-0.0792918,3116,Chemical engineering technicians,4.0,-0.01982295
17-3029,"Engineering Technicians, Except Drafters, All Other",-0.0792918,3117,Mining and metallurgical technicians,4.0,-0.01982295
