person_id,year,occ_code,occ_major_group,white_collar,blue_collar,ai_exposure,annual_wage,log_wage,sex,age,state,edu,yr_2021,ai_x_yr2021,yr_2022,ai_x_yr2022,yr_2023,ai_x_yr2023,yr_2024,ai_x_yr2024
100178,2020,27,2,1,0,0.36867467552083333,2340.0,7.757906208351747,2.0,40.0,6.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100180,2020,72,7,0,1,-0.17341740850805848,3500.0,8.160518247477505,1.0,57.0,2.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100186,2020,71,7,0,1,-0.3228701137548854,1000.0,6.907755278982137,1.0,52.0,3.0,4.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100187,2020,13,1,1,0,0.2649464281801939,500.0,6.214608098422191,1.0,50.0,3.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100188,2020,71,7,0,1,-0.3228701137548854,1450.0,7.27931883541462,1.0,47.0,6.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100195,2020,43,4,1,0,-0.1286161210627572,850.0,6.745236349484363,2.0,65.0,3.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100196,2020,34,3,1,0,-0.16198064003426815,2052.0,7.62657020629066,1.0,36.0,3.0,8.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100197,2020,53,5,0,1,0.40991099791666663,269.0,5.594711379601839,2.0,46.0,1.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100201,2020,23,2,1,0,0.15416288675229753,3222.0,8.07775756373692,1.0,29.0,5.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100202,2020,22,2,1,0,0.23363319630473772,1688.0,7.431299675155903,2.0,27.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100203,2020,44,4,1,0,-0.12962232612569966,1500.0,7.313220387090301,1.0,24.0,5.0,3.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100206,2020,62,6,0,1,0.01205130738931425,480.0,6.173786103901937,2.0,47.0,2.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100209,2020,59,5,0,1,0.2407843772218851,500.0,6.214608098422191,2.0,46.0,2.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100246,2020,45,4,1,0,-0.024169028425497677,192.0,5.2574953720277815,2.0,43.0,1.0,3.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100250,2020,41,4,1,0,-0.01690187175562818,1690.0,7.432483807917119,2.0,35.0,1.0,3.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100259,2020,13,1,1,0,0.2649464281801939,2910.0,7.975908360165538,1.0,51.0,5.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100270,2020,53,5,0,1,0.40991099791666663,1490.0,7.306531398939505,2.0,60.0,2.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100271,2020,13,1,1,0,0.2649464281801939,2750.0,7.919356190660617,1.0,61.0,2.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100272,2020,24,2,1,0,0.30562130137616766,1550.0,7.346010209913293,2.0,29.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100273,2020,22,2,1,0,0.23363319630473772,1450.0,7.27931883541462,2.0,26.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100274,2020,45,4,1,0,-0.024169028425497677,162.0,5.087596335232384,2.0,51.0,3.0,2.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100275,2020,21,2,1,0,0.07631384209297837,750.0,6.620073206530356,1.0,61.0,3.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
100283,2020,53,5,0,1,0.40991099791666663,550.0,6.309918278226516,2.0,42.0,2.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100286,2020,14,1,1,0,0.096901219869185,690.0,6.536691597591305,2.0,35.0,5.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100289,2020,44,4,1,0,-0.12962232612569966,1800.0,7.495541943884256,1.0,58.0,2.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100292,2020,22,2,1,0,0.23363319630473772,1676.0,7.424165281042028,2.0,25.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100293,2020,43,4,1,0,-0.1286161210627572,750.0,6.620073206530356,1.0,23.0,2.0,8.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100300,2020,51,5,0,1,0.2939577758152958,700.0,6.551080335043404,2.0,58.0,4.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100301,2020,42,4,1,0,0.01051028608479534,554.0,6.317164686747284,2.0,18.0,4.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100305,2020,25,2,1,0,0.06932169621067275,1050.0,6.956545443151569,2.0,39.0,3.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100306,2020,84,8,0,1,-0.10573328875615122,3000.0,8.006367567650246,1.0,37.0,3.0,3.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100315,2020,22,2,1,0,0.23363319630473772,5155.0,8.54772239645106,1.0,46.0,2.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100316,2020,25,2,1,0,0.06932169621067275,1000.0,6.907755278982137,2.0,45.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100326,2020,59,5,0,1,0.2407843772218851,2360.0,7.7664168980196555,1.0,61.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100327,2020,41,4,1,0,-0.01690187175562818,750.0,6.620073206530356,1.0,50.0,2.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100329,2020,25,2,1,0,0.06932169621067275,2250.0,7.718685495198466,2.0,25.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100330,2020,,,0,0,,200.0,5.298317366548036,1.0,22.0,2.0,8.0,0,,0,,0,,0,
100332,2020,13,1,1,0,0.2649464281801939,1700.0,7.438383530044307,2.0,47.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100334,2020,74,7,0,1,-0.0749210140512265,1080.0,6.984716320118266,1.0,24.0,3.0,8.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100338,2020,14,1,1,0,0.096901219869185,3280.0,8.09559870137819,2.0,43.0,3.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100340,2020,24,2,1,0,0.30562130137616766,1900.0,7.549609165154532,2.0,50.0,2.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100341,2020,13,1,1,0,0.2649464281801939,2992.0,8.003697339094368,1.0,54.0,2.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100342,2020,55,5,0,1,0.48112254194444437,1458.0,7.284820912568604,2.0,24.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100346,2020,13,1,1,0,0.2649464281801939,2075.0,7.637716432664798,2.0,43.0,1.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100348,2020,73,7,0,1,-0.18400218007352942,1390.0,7.237059026124737,1.0,59.0,1.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100357,2020,52,5,0,1,0.5169799814814815,1649.0,7.407924322559599,2.0,44.0,5.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100361,2020,33,3,1,0,-0.5307926277777777,345.0,5.84354441703136,1.0,28.0,2.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100364,2020,27,2,1,0,0.36867467552083333,1350.0,7.2078598714324755,1.0,60.0,3.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
