,coef,std_err,p_value,ci_low,ci_high
slope_2020,0.58501,0.035439,0.0,0.515551,0.65447
slope_2021,0.606975,0.035352,0.0,0.537687,0.676263
slope_2022,0.629204,0.035987,0.0,0.558672,0.699736
slope_2023,0.717057,0.037642,0.0,0.64328,0.790834
slope_2024,0.772036,0.036131,0.0,0.701221,0.842851
