,coef,std_err,p_value,ci_low,ci_high
ai_x_yr2021,0.082786,0.022796,0.000282,0.038106,0.127466
ai_x_yr2022,0.002533,0.023757,0.915075,-0.04403,0.049097
ai_x_yr2023,-0.0086,0.026611,0.74658,-0.060757,0.043558
ai_x_yr2024,-0.041341,0.027755,0.13636,-0.095739,0.013058
