model,term,coef,se,pvalue
specA_yearFE_noPostMain,high_ai_exposure,-0.03628085165529705,0.007695833166999493,2.4248346690064043e-06
specA_yearFE_noPostMain,high_ai_x_post2021,0.016216381476235643,0.008172507746334313,0.04722684575817435
specA_yearFE_noPostMain,occ_changed_anzsco2_1y,0.01372116322455305,0.006383189784493536,0.031588623881974906
specA_yearFE_noPostMain,high_ai_x_post2021_x_mobility,0.011493175417452043,0.008395114711434682,0.1709894684133374
specB_noYearFE_withPost,high_ai_exposure,-0.03628843773162177,0.007695486062772894,2.410604652297012e-06
specB_noYearFE_withPost,post_2021,-0.05255648702815549,0.006129116363682801,9.91831724812285e-18
specB_noYearFE_withPost,high_ai_x_post2021,0.016218320396798613,0.00817129444233406,0.04716761033001262
specB_noYearFE_withPost,occ_changed_anzsco2_1y,0.013525104196146059,0.006384993072387299,0.03415267284906296
specB_noYearFE_withPost,high_ai_x_post2021_x_mobility,0.011430896624821048,0.008399416556238033,0.1735403779746446
